UTM_N,UTM_E,siteID.x,individualID,taxonID.x,collectDate, plotID.x,domainID.x,utmZone
542087.4119,4136389.195,MLBS,2547,NA,NA,NA,NA,17N
542081.7254,4136386.715,MLBS,1069,NA,NA,NA,NA,17N
542078.801,4136402.581,MLBS,2572,NA,NA,NA,NA,17N
542072.7267,4136397.99,MLBS,1071,NA,NA,NA,NA,17N
542108.1543,4136447.249,MLBS,1072,NA,NA,NA,NA,17N
542110.64,4136443.385,MLBS,2564,NA,NA,NA,NA,17N
542109.9257,4136498.433,MLBS,2534,NA,NA,NA,NA,17N
542112.0682,4136501.851,MLBS,1070,NA,NA,NA,NA,17N
542277.5982,4137001.664,MLBS,2504,NA,NA,NA,NA,17N
542289.2919,4136954.4,MLBS,2532,NA,NA,NA,NA,17N
542672.1522,4136950.218,MLBS,1064,NA,NA,NA,NA,17N
542716.0378,4136934.51,MLBS,1061,NA,NA,NA,NA,17N
542670.6513,4136931.886,MLBS,1060,NA,NA,NA,NA,17N
542674.5708,4136913.336,MLBS,1058,NA,NA,NA,NA,17N
542677.0768,4136908.192,MLBS,2545,NA,NA,NA,NA,17N
542679.9157,4136916.549,MLBS,1059,NA,NA,NA,NA,17N
542680.28,4136919.518,MLBS,2539,NA,NA,NA,NA,17N
542686.9807,4136906.081,MLBS,1057,NA,NA,NA,NA,17N
542668.3207,4136885.565,MLBS,2535,NA,NA,NA,NA,17N
542672.6418,4136884.457,MLBS,1066,NA,NA,NA,NA,17N
541970.9167,4136204.591,MLBS,2569,NA,NA,NA,NA,17N
541973.9512,4136175.611,MLBS,1075,NA,NA,NA,NA,17N
541978.6412,4136181.791,MLBS,1074,NA,NA,NA,NA,17N
541990.5632,4136170.536,MLBS,1076,NA,NA,NA,NA,17N
541993.3493,4136194.817,MLBS,1077,NA,NA,NA,NA,17N
541969.75,4136208.915,MLBS,1073,NA,NA,NA,NA,17N
541970.3404,4136223.504,MLBS,1083,NA,NA,NA,NA,17N
541950.9539,4136152.088,MLBS,1079,NA,NA,NA,NA,17N
541983.5358,4136086.722,MLBS,1081,NA,NA,NA,NA,17N
542009.7149,4136088.985,MLBS,1082,NA,NA,NA,NA,17N
541994.0392,4136185.093,MLBS,2597,NA,NA,NA,NA,17N
541961.2095,4136143.391,MLBS,1078,NA,NA,NA,NA,17N
541908.9389,4136571.858,MLBS,2584,NA,NA,NA,NA,17N
541911.3955,4136560.197,MLBS,2549,NA,NA,NA,NA,17N
541937.5768,4136495.319,MLBS,2542,NA,NA,NA,NA,17N
542225.6191,4136841.114,MLBS,2528,NA,NA,NA,NA,17N
542552.6013,4136717.138,MLBS,2518,NA,NA,NA,NA,17N
542619.0635,4136657.765,MLBS,2559,NA,NA,NA,NA,17N
542560.6686,4136669.415,MLBS,2588,NA,NA,NA,NA,17N
542550.8906,4136673.345,MLBS,2591,NA,NA,NA,NA,17N
